Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003
"34007600200","14000US34007600200","Census Tract 6002","Census Tract 6002, Camden County, New Jersey","nj","140","00","ACSSF","0001761",,,,,"34","007",,,,"600200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398,405,993
"34007600400","14000US34007600400","Census Tract 6004","Census Tract 6004, Camden County, New Jersey","nj","140","00","ACSSF","0001762",,,,,"34","007",,,,"600400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793,725,1068
"34007600700","14000US34007600700","Census Tract 6007","Census Tract 6007, Camden County, New Jersey","nj","140","00","ACSSF","0001763",,,,,"34","007",,,,"600700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,394,453
"34007600800","14000US34007600800","Census Tract 6008","Census Tract 6008, Camden County, New Jersey","nj","140","00","ACSSF","0001764",,,,,"34","007",,,,"600800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932,1221,1711
"34007600900","14000US34007600900","Census Tract 6009","Census Tract 6009, Camden County, New Jersey","nj","140","00","ACSSF","0001765",,,,,"34","007",,,,"600900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,1075,1166
"34007601000","14000US34007601000","Census Tract 6010","Census Tract 6010, Camden County, New Jersey","nj","140","00","ACSSF","0001766",,,,,"34","007",,,,"601000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3912,714,3198
"34007601101","14000US34007601101","Census Tract 6011.01","Census Tract 6011.01, Camden County, New Jersey","nj","140","00","ACSSF","0001767",,,,,"34","007",,,,"601101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,607,1374
"34007601102","14000US34007601102","Census Tract 6011.02","Census Tract 6011.02, Camden County, New Jersey","nj","140","00","ACSSF","0001768",,,,,"34","007",,,,"601102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2953,580,2373
"34007601200","14000US34007601200","Census Tract 6012","Census Tract 6012, Camden County, New Jersey","nj","140","00","ACSSF","0001769",,,,,"34","007",,,,"601200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4086,878,3208
"34007601300","14000US34007601300","Census Tract 6013","Census Tract 6013, Camden County, New Jersey","nj","140","00","ACSSF","0001770",,,,,"34","007",,,,"601300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,775,1715
"34007601400","14000US34007601400","Census Tract 6014","Census Tract 6014, Camden County, New Jersey","nj","140","00","ACSSF","0001771",,,,,"34","007",,,,"601400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824,888,1936
"34007601500","14000US34007601500","Census Tract 6015","Census Tract 6015, Camden County, New Jersey","nj","140","00","ACSSF","0001772",,,,,"34","007",,,,"601500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981,1237,1744
"34007601600","14000US34007601600","Census Tract 6016","Census Tract 6016, Camden County, New Jersey","nj","140","00","ACSSF","0001773",,,,,"34","007",,,,"601600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304,481,823
"34007601700","14000US34007601700","Census Tract 6017","Census Tract 6017, Camden County, New Jersey","nj","140","00","ACSSF","0001774",,,,,"34","007",,,,"601700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,520,785
"34007601800","14000US34007601800","Census Tract 6018","Census Tract 6018, Camden County, New Jersey","nj","140","00","ACSSF","0001775",,,,,"34","007",,,,"601800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,233,436
"34007601900","14000US34007601900","Census Tract 6019","Census Tract 6019, Camden County, New Jersey","nj","140","00","ACSSF","0001776",,,,,"34","007",,,,"601900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662,547,1115
"34007602000","14000US34007602000","Census Tract 6020","Census Tract 6020, Camden County, New Jersey","nj","140","00","ACSSF","0001777",,,,,"34","007",,,,"602000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3709,1105,2604
"34007602503","14000US34007602503","Census Tract 6025.03","Census Tract 6025.03, Camden County, New Jersey","nj","140","00","ACSSF","0001778",,,,,"34","007",,,,"602503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515,44,1471
"34007602601","14000US34007602601","Census Tract 6026.01","Census Tract 6026.01, Camden County, New Jersey","nj","140","00","ACSSF","0001779",,,,,"34","007",,,,"602601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,117,1563
"34007602602","14000US34007602602","Census Tract 6026.02","Census Tract 6026.02, Camden County, New Jersey","nj","140","00","ACSSF","0001780",,,,,"34","007",,,,"602602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788,325,1463
"34007602901","14000US34007602901","Census Tract 6029.01","Census Tract 6029.01, Camden County, New Jersey","nj","140","00","ACSSF","0001781",,,,,"34","007",,,,"602901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2642,137,2505
"34007602902","14000US34007602902","Census Tract 6029.02","Census Tract 6029.02, Camden County, New Jersey","nj","140","00","ACSSF","0001782",,,,,"34","007",,,,"602902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099,307,1792
"34007603001","14000US34007603001","Census Tract 6030.01","Census Tract 6030.01, Camden County, New Jersey","nj","140","00","ACSSF","0001783",,,,,"34","007",,,,"603001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,138,2364
"34007603002","14000US34007603002","Census Tract 6030.02","Census Tract 6030.02, Camden County, New Jersey","nj","140","00","ACSSF","0001784",,,,,"34","007",,,,"603002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956,443,2513
