exclude,ID,state,region_code,south_code,TLactual,TL,collectivism,extraversion,agreeable,conscien,neuro,open,sexratio,gini_2015,gini_all,gini,pop_dense_rank,pop_density,population,population_rank,state_mobility,politic,age,compared_to,similar_to,compared_with,same_as,different_from,as_much_as,similarities_between,relate_to,related_to,bigger_than,same_size,differ_from,identical_to,smaller_than,associated_with,equal_to,larger_than,relative_to,less_than,part_of,compare_and_contrast,longer_than,akin_to,harder_than,fewer_than,softer_than,further_away,farther_away,worried,afraid,proud,depressed,inspried,admiration,ashamed,optimistic,sympathetic,resentful,envious,jealous,happy,surprised,angry,sad,disgusted,thesouth,southern,gulfcoast,honor,govcontrol,abstruth,abstinence,feminism,stopabortion,saynotodrugs,bible,lev18,lawenforcement,punishment,jailtime,courtdate,hypothermia,heatstroke,lightstrike,tstorm,flood,quake,tnado,flu,pnumon,stdsympt,disease,joinmil,army,navy,airforce,sealteam,fence,wall,prochoice,genderfluid,nostringsattached,genderreassignment,genderneutral,stayathomedad,femaleceo,taxevasion,prolife,iphone,obama,jackson,ipad,rebblack,whithoust,paulwalk,robwil,lamarodom,pop_search_new,pop_search,ZTL,Zcollectivism,pop_dense_log,pop_log,compare_all,shouldyou,youshould,shouldI,Ishould,you,youmust,imust,youhaveto,ihaveto,I,weshould,shouldwe,geographic,behav_restrict,pun_deviance,ecothreat,disease_threat,terr_threat,urban,minority,hispanic,black,asian,asian_hispanic,pop_social,comp_emo_final,comp_word_final,non_scomp_word_final,non_scomp_word_final_2,basic_emo_final_2,non_comp_emo_final,basic_emo_final,pop_search_final,social_noncomp_final,lat,lon
1,1,Alabama,3,1,75.45,75.45,57,0.22,-0.27,-0.53,-0.26,-1.32,94.33,0.464,0.469142857,0.472,24,95.9,4858979,27,2.25,14,38.6,0.152,1.224,0.609,0.339,1.376,1.199,0.05,1.369,1.348,0.837,0.803,1.686,1.27,0.329,1.674,1.04,1.109,1.43,1.55,1.012,1.861,0.966,0.124,0.759,0.567,-0.262,-0.862,-0.601,1.085,0.414,1.173,-0.444,1.268,0.85,2.143,1.369,0.855,-0.423,-0.058,0.622,0.271,-0.074,-0.455,-0.707,0.892,3.543,2.508,1.521,2.418,0.935,1.439,0.599,-0.694,0.477,1.983,2.422,2.025,0.064,0.778,-0.025,-0.059,-0.208,0.549,1.103,0.193,-0.423,-0.631,2.261,-0.554,1.91,0.989,0.535,0.907,1.451,0.269,1.099,1.8,-0.299,-0.786,-0.628,-0.073,-0.371,-0.283,-0.34,-1.374,-0.298,-0.182,0.092,0.511,0.844,0.871,0.668,-0.83,1.143,0.437,-0.307,0.311,0.438846154,-0.363,2.009490185,0.610399037,4.563305982,15.39633889,0.694947368,0.774,1.434,-0.303,0.021,1.104,1.548,0.699,1.64,0.769,-0.141,0.068,-0.408,2.524,1.135285714,0.272333333,0.579166667,0.72,0.634428571,59,0.34,0.04,0.26,0.01,0.05,0.203,0.612428571,0.943230769,0.709785714,-0.0798,0.57925,0.577888889,0.056833333,0.405333333,0.77,32.806671,-86.79113
1,2,Alaska,4,0,38.43,38.43,48,-1.63,-4.33,-3,-1.2,-1.37,108.52,0.43,0.4362,0.422,1,1.3,738432,3,5.22,12,33.3,0.68,-1.019,-0.593,-0.5,-0.274,-0.848,-1.341,-1.308,-0.954,0.278,-0.399,-0.408,-0.517,0.058,-0.937,-1.449,-0.068,-0.668,-1.478,-0.783,-0.544,-0.394,1.137,-0.842,-1.501,-0.855,-1.318,-0.204,-1.192,-0.758,-0.114,-0.233,-1.028,-1.08,-0.399,-1.079,-1.529,-0.581,-0.043,-0.528,-0.94,-0.81,-0.695,-1.071,-1.004,-0.559,-0.892,-0.305,0,-0.704,0.397,-0.758,-0.972,-1.659,-0.676,0.076,-0.14,0.058,0.048,0.468,-0.878,3.721,-1.848,-1.092,-1.796,-0.196,5.037,-0.955,0.071,-1.078,0.816,-1.06,2.078,3.989,-0.237,2.536,-0.015,-0.36,-0.358,0.413,0.468,-1.617,0.347,-0.087,2.63,-0.657,-1.181,-0.147,0.364,-0.01,-1.375,0.39,-0.844,-0.882,-0.894,-0.279,-1.266,-0.330538462,-0.43475,-0.929577368,-0.183472543,0.262364264,13.5122843,-0.854736842,-1.301,-0.491,-0.195,-0.812,-0.896,-0.336,1.687,-0.967,-0.316,-0.5035,-1.029,-1.874,-0.585333333,-0.495857143,0.191333333,-0.361,-0.31275,1.090428571,66,0.38,0.07,0.04,0.06,0.13,-0.6804,-0.700428571,-0.554076923,-0.643142857,-0.944,-0.941,-0.79,-0.879666667,-0.532888889,-0.57,61.370716,-152.404419
1,3,Arizona,4,0,47.56,47.56,49,-0.03,-0.06,1.06,-1.09,-0.02,98.74,0.464,0.469614286,0.455,18,60.1,6828065,37,3.75,7,36.9,-0.243,-0.234,0.791,0.807,-0.232,-0.187,0.278,-0.265,0.073,-0.188,-0.214,0.197,0.319,0.064,0.076,-0.05,0.073,0.648,0.263,0.246,0.283,0.332,-0.72,-0.324,-0.102,-0.358,0.131,-0.08,-0.853,-0.476,-0.588,-0.195,-0.276,-0.41,-0.355,0.392,0.015,0.422,0.016,0.274,-0.558,-0.636,-0.421,2.624,-0.141,-0.579,-0.279,-0.35,-1,0.301,-0.339,-0.647,-0.518,0.107,-0.429,-0.383,-0.655,0.017,-1.034,0.382,0.277,-0.647,1.521,-0.133,-0.806,-0.462,0.076,-0.78,-0.538,-0.194,0.308,-0.775,0.594,-0.01,-0.559,0.104,0.39,4.194,3.271,-0.887,0.28,-0.021,0.423,-1.058,0.026,-0.074,-0.456,-0.701,-0.327,-0.067,0.018,-0.202,-0.003,-0.51,0.289,0.225,1.092,0.205307692,0.68825,-0.204734398,-0.09526459,4.096009842,15.73655188,-0.044473684,-0.507,-0.452,-0.077,-0.58,-0.4795,0.149,0.102,-0.166,0.363,-0.3285,-0.626,-1.003,-0.402666667,-0.298714286,-0.211666667,-0.217833333,-0.29975,1.140571429,89.8,0.44,0.31,0.04,0.03,0.34,0.0924,-0.078142857,0.069384615,0.057571429,-0.1466,-0.5265,-0.360333333,0.065333333,0.057222222,-0.04,33.729759,-111.431221
1,4,Arkansas,3,1,75.03,75.03,54,-0.21,-0.53,-0.54,1.01,0.06,96.45,0.451,0.460028571,0.458,17,57.2,2978204,18,2.55,14,37.8,1.198,1.328,1.271,0.941,1.787,1.185,1.722,1.864,1.94,1.44,1.301,1.435,1.265,1.239,1.776,1.398,1.307,1.138,1.526,1.559,2.642,1.345,0.167,0.371,1.053,-0.521,0.007,0.663,0.583,0.776,0.399,0.253,1.612,1.164,1.816,0.705,0.381,0.981,0.048,0.493,0.615,-0.107,-0.789,-0.106,0.265,0.879,0.589,-0.06,0.162,1.525,1.612,1.143,-0.913,1.862,1.756,2.218,1.988,0.637,1.547,0.293,-0.076,-0.495,1.607,0.544,0.824,0.001,0.102,2.473,-0.387,0.777,0.251,0.514,0.877,-0.209,-0.304,0.366,0.865,-0.285,-0.482,-0.205,0.797,-0.731,0.253,0.009,-0.768,-0.379,-0.259,0.239,1.209,0.08,0.41,0.118,-0.805,0.163,0.07,0.036,0.109,0.055923077,0.137,1.976145821,0.345775177,4.046553898,14.90683099,0.997263158,0.483,2.021,0.095,0.681,1.252,1.61,1.249,1.689,1.391,0.388,1.703,0.306,0.469333333,1.479285714,0.825666667,0.825666667,0.28875,0.118285714,56.2,0.27,0.07,0.15,0.01,0.08,-0.0418,0.725428571,1.436692308,1.092785714,0.3146,0.37925,0.457444444,0.109,0.154444444,1.04,34.969704,-92.373123
1,5,California,4,0,27.37,27.37,60,-0.57,0.04,-0.13,-0.53,1.05,98.83,0.459,0.462328571,0.471,40,251.3,39144818,50,1.34,-9,36,-1.585,-0.772,-0.56,-0.615,-0.34,-0.716,-0.962,-0.809,-1.49,-0.924,-1.311,-0.218,-0.662,-0.912,-1.581,-1.232,-1.176,-0.633,-1,-1.158,-0.567,-1.102,-0.632,-0.492,-0.582,-0.883,-0.998,-1.074,-0.996,-1.37,-0.27,-0.78,-0.49,0.717,-0.63,0.368,-1.102,1.217,0.078,0.613,-1.323,-0.179,-0.866,1.045,0.292,-0.669,0.209,-0.378,-0.62,-1.175,-1.143,-1.835,-0.326,-0.259,0.348,-0.836,-0.998,-0.889,-1.858,-0.704,0.17,-1.595,-0.912,-1.881,-2.173,-0.798,3.198,-1.098,-0.559,-1.916,-0.938,-2.225,-0.305,-0.986,-0.076,-0.822,-1.233,0.208,0.118,-0.97,-1.275,1.308,-1.798,-1.101,-0.643,0.642,-0.611,-1.331,0.973,-0.711,1.287,0.177,0.922,-0.246,0.324,-0.422,2.042,0.569384615,-0.25625,-1.807645632,0.875022897,5.526647445,17.48277861,-0.429736842,-1.85,-1.063,-1.222,-1.175,-1.4565,0.212,-1.125,-1.249,-0.577,-1.1985,-0.691,-0.675,-0.279333333,-0.890142857,-1.150333333,-1.4095,-1.4095,-0.442285714,95,0.62,0.39,0.06,0.14,0.53,0.28,0.109,-0.843384615,-0.966428571,-0.8058,-0.56325,-0.609333333,-0.400166667,0.482888889,-0.45,36.116203,-119.681564
1,6,Colorado,4,0,42.92,42.92,36,-0.19,0.03,0.69,-1.97,0.97,100.48,0.435,0.443242857,0.457,14,52.6,5456574,29,4.13,-1,36.3,-0.176,-0.731,-0.873,-0.354,-1.151,-1.267,-0.902,-0.918,-1.05,-0.765,-0.655,-1.188,-1.196,-0.7,-0.868,-0.904,-0.223,-0.568,-0.502,-1.082,-0.837,-0.624,-0.658,-1.134,-1.173,-0.815,0.263,-0.861,-0.993,-1.216,-0.979,-0.782,-0.757,-0.035,-0.908,-0.827,-0.856,-0.712,-0.338,-1.061,-1.274,-0.776,-0.6,0.18,-1.268,-0.445,-0.701,-0.286,-1.052,0.047,0.431,-1.111,-0.604,-0.244,-1.002,-0.394,-0.519,0.111,-1.015,-0.483,-0.026,-0.304,-0.337,1.32,-0.437,0.475,-0.133,-0.07,-0.231,-0.949,0.384,-0.97,-0.178,0.198,-0.686,1.627,-0.022,0.459,0.369,-0.314,-0.747,-0.667,-0.114,-0.524,1.062,0.254,-0.637,-0.411,-0.33,0.32,-0.714,-0.003,-0.866,-0.632,-0.285,1.167,-0.651,-0.289538462,-0.45525,-0.573110234,-1.241967983,3.96271612,15.51233168,-0.787947368,-0.761,-1.1,-0.018,-1.146,-0.9305,-0.85,-0.251,-0.574,-0.47,-0.582,-0.809,-0.243,-0.477333333,-0.383428571,-0.462333333,0.107833333,-0.4415,0.252428571,86.2,0.31,0.21,0.04,0.03,0.24,-0.0756,-0.676857143,-0.863538462,-0.682285714,-0.744,-1.06325,-0.960444444,-0.825666667,-0.221555556,-0.63,39.059811,-105.311104
1,7,Connecticut,1,0,36.37,36.37,50,-0.36,-0.72,-1.11,0.54,0.65,94.83,0.433,0.431328571,0.486,47,741.6,3590886,22,2.33,-7,40.5,-0.706,0,-0.382,-0.285,0.074,-0.149,0.681,0.801,-0.405,-0.726,-0.591,-0.151,-0.512,-0.428,-0.587,0.259,-0.44,-0.141,0.224,-0.045,-0.577,-0.663,0.884,1.091,0.111,1.148,-0.321,-0.058,-0.166,0.554,-0.137,0.824,0.168,0.879,-0.87,-0.416,0.441,-0.021,-0.393,-0.44,0.761,1.086,1.68,-0.643,0.166,-0.445,0.072,-0.285,0.145,-0.481,-1.579,-0.369,1.095,-0.282,-0.589,-1.26,-1.1,-1.364,0.138,-0.458,-0.008,-0.187,-1.259,-0.797,-0.128,-0.155,-0.409,-0.686,-0.429,-0.425,-0.758,0.824,-1.128,-0.838,-0.034,-1.097,-0.226,-0.197,-0.377,0.246,0.228,1.324,0.158,0.171,0.245,1.542,1.481,-0.681,0.133,0.187,0.037,0.512,1.791,-0.162,-0.936,-1.084,0.084,0.147769231,-1.05675,-1.093123537,-0.007056636,6.608810014,15.09390953,0.149789474,-0.331,-0.874,-0.237,0.606,-0.6025,-0.808,0.404,-0.962,-0.971,0.1845,0.093,1.558,-0.219333333,-0.748714286,-0.561333333,-0.535333333,-0.197,-0.556714286,88,0.31,0.15,0.1,0.04,0.19,-0.001,0.071,-0.180846154,-0.045285714,0.3942,0.41,0.402111111,0.600666667,0.062444444,-0.06,41.597782,-72.755371
1,8,Delaware,3,1,51.02,51.02,55,0.15,-0.29,-0.48,0.21,-0.93,93.94,0.441,0.446728571,0.44,45,485.3,945934,6,3.48,-8,39.6,-0.13,0.304,0.799,0.553,0.642,0.517,0.934,1.15,1.042,-0.299,0.205,-0.036,0.269,-0.045,0.452,1.958,0.574,2.004,1.437,0.443,0.471,-0.154,-0.096,1.85,-0.635,1.15,0.608,0.329,0.694,0.554,1.04,0.796,0.92,1.141,-0.18,1.099,0.781,0.299,-0.293,0.431,0.694,2.137,1.348,0.556,1.351,-0.54,-0.52,-0.253,-0.274,1.396,-1.373,1.203,0.583,-1.659,-0.432,-0.439,-0.582,-0.537,0.621,0.303,-0.357,0.083,-0.753,-0.287,0.88,-0.388,-0.243,-0.415,-0.34,-0.197,0.218,0.684,0.161,-0.65,0.085,0.821,0.794,-0.07,-0.573,-0.238,0.189,0.847,-0.275,0.386,-0.098,2.31,1.067,-0.15,0.629,0.137,0.491,1.367,1.954,0.742,0.375,0.185,0.12,0.328307692,-0.3465,0.069959652,0.43398313,6.184767256,13.75992808,0.826684211,1.416,0.535,0.731,0.53,0.9755,0.506,-0.036,-0.137,-0.076,0.6305,0.421,2.038,-0.437666667,-0.207714286,0.129,-0.146666667,0.09125,0.081142857,83.3,0.36,0.09,0.21,0.04,0.13,0.6284,0.617,0.457692308,0.606857143,0.6604,1.184,0.943666667,1.106666667,0.666666667,0.43,39.318523,-75.507141
1,10,Florida,3,1,49.28,49.28,54,0.65,0.55,1.11,-0.5,0.59,95.6,0.44,0.443828571,0.474,43,378,20271272,48,2.78,2,33.8,-0.681,0.127,0.177,0.259,0.666,0.484,0.115,0.143,0.035,-0.236,-0.553,1.315,0.434,-0.597,0.133,0.275,-0.667,-0.188,0.85,0.454,1,0.207,-1.077,-0.267,0.909,-0.687,-0.602,-0.774,0.179,-0.372,0.442,-0.675,0.112,0.93,0.093,1.124,-0.189,1.355,0.148,0.471,-0.355,-1.324,-0.454,0.535,1.057,-0.091,-0.194,1.564,-1.221,-0.309,-0.557,-1.006,-1.601,-0.086,2.949,-0.047,-0.151,1.034,-1.475,0.226,0.629,-1.154,-0.194,0.894,-0.509,-0.388,-0.613,-0.571,-0.656,-1.042,0.13,-0.817,0.559,-0.595,0.394,-0.152,-0.033,-0.782,-0.273,-1.327,-0.795,0.332,-1.08,-1.81,-1.397,0.072,0.154,-1.113,0.915,0.253,0.602,0.826,-0.319,0.622,0.499,0.251,0.786,0.439692308,-0.361,-0.068181286,0.345775177,5.934894196,16.82471527,0.308315789,-0.042,0.769,-0.498,-0.239,0.3635,2.476,-0.936,0.132,0.807,-0.3685,-0.964,-1.459,0.426333333,-0.024142857,-0.071666667,-0.320333333,-0.59625,-0.126,91.2,0.44,0.24,0.16,0.03,0.27,0.2572,0.467,0.175769231,-0.054571429,-0.2842,-0.115,-0.080777778,-0.152166667,0.492777778,-0.02,27.766279,-81.686783
1,11,Georgia,3,1,60.26,60.26,60,1.22,0.87,1.43,-0.39,0.19,95.38,0.433,0.434414286,0.468,34,177.6,10214860,43,2.75,6,41.6,-0.902,-0.357,-0.624,-0.462,0.285,-0.546,0.159,0.434,-0.177,0.416,-0.128,0.126,0.16,-0.569,0.107,0.077,-0.541,-0.246,0.413,0.122,0.789,0.128,-1.684,-0.074,-0.201,-0.921,-1.071,-0.913,1.142,-0.736,1.114,-1.081,-0.686,-0.192,0.999,1.696,-1.122,0.346,0.154,0.966,-0.793,-0.52,-0.914,-1.125,1.025,2.226,1.903,0.089,-1.113,0.289,0.19,-0.67,-1.447,-0.209,0.714,0.993,0.912,-0.123,-0.774,1.63,1.188,-1.089,-0.42,-0.246,-0.384,-0.584,-0.617,0.031,-0.499,-0.406,1.77,-0.572,0.901,0.748,0.255,0.202,-0.206,-0.83,-0.798,-1.237,-0.935,-0.356,-0.931,-1.265,-1.131,0.206,-0.045,-1.181,0.815,0.493,1.176,-0.974,-0.595,2.181,0.546,-0.325,0.991,0.245076923,-0.51875,0.80353567,0.875022897,5.179533831,16.13935408,-0.007157895,0.143,0.094,-0.84,-0.213,0.1185,0.083,-0.671,0.858,0.447,-0.5265,-1.258,-1.273,1.406,0.018,0.244333333,-0.448666667,0.07325,0.038857143,75.1,0.46,0.09,0.31,0.04,0.13,0.259,0.082857143,-0.124307692,-0.322142857,-0.636,0.22775,0.090888889,-0.5105,0.478666667,0,33.040619,-83.643074
