,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2020-2021 Enrollment Data - District Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eight Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
01,Atlantic,0010,Absecon Public Schools District,887,447,50.4,133,15,208,23.4,57,6.4,0,0,0,0,42,4.7,0,48,0,83,94,76,107,88,84,94,94,94,0,0,0,0,25,40.8,5.9,8.7,0,0.8,0.2
01,Atlantic,0110,Atlantic City School District,6450,265,4.1,2147,33.3,2847,44.1,1046,16.2,1,0,42,0.7,102,1.6,0,340,0,379,482,429,472,440,457,473,487,473,496,462,405,369,286,81.5,3.6,16.1,0,0,2.2
01,Atlantic,0120,Atlantic County Vocational School District,1713,516,30.1,296,17.3,721,42.1,102,6,5,0.3,9,0.5,64,3.7,0,0,0,0,0,0,0,0,0,0,0,0,437,399,355,362,160,48.6,9.6,0,0,2.5,0.6
01,Atlantic,0125,Atlantic County Special Services School District,306,95,31,82,26.8,108,35.3,11,3.6,1,0.3,5,1.6,4,1.3,0,4,0,0,0,8,4,3,6,3,8,4,1,3,5,13,244,39.5,5.9,0.3,0,0.3,1
01,Atlantic,0570,Brigantine Public School District,444,314,70.7,18,4.1,62,14,48,10.8,0,0,0,0,2,0.5,0,56,0,34,38,46,39,41,34,42,58,44,0,0,0,0,12,33.8,8.3,3.4,0,2.3,0.5
01,Atlantic,0590,Buena Regional School District,1636,890,54.4,219,13.4,484,29.6,21,1.3,3,0.2,2,0.1,17,1,0,104,0,99,120,113,95,89,97,107,109,101,146,114,130,121,91,44.7,10.8,2.6,0.2,0.4,1.7
01,Atlantic,1300,Egg Harbor City School District,509,132,25.9,124,24.4,212,41.7,10,2,0,0,0,0,31,6.1,0,31,0,43,50,51,59,41,47,49,37,55,0,0,0,0,46,66.2,3.9,4.9,0,1.4,1
01,Atlantic,1310,Egg Harbor Township School District,7109,3100,43.6,670,9.4,1854,26.1,1070,15.1,7,0.1,16,0.2,392,5.5,120,0,0,342,408,474,476,474,476,573,561,622,546,626,564,569,278,35.8,6.9,2.7,0,1.5,0.4
01,Atlantic,1410,Estell Manor School District,189,178,94.2,2,1.1,6,3.2,0,0,0,0,1,0.5,2,1.1,0,0,0,18,21,22,20,21,20,17,22,26,0,0,0,0,2,14.8,3.2,0,0,0,0
01,Atlantic,1540,Folsom Borough School District,385,332,86.2,10,2.6,29,7.5,4,1,0,0,0,0,10,2.6,0,11,0,35,35,35,42,42,47,48,44,46,0,0,0,0,0,16.9,6.5,0,0,1.3,0.3
01,Atlantic,1690,Galloway Township Public School District,3261,1468,45,712,21.8,645,19.8,365,11.2,12,0.4,8,0.2,51,1.6,0,197,0,287,300,299,285,349,310,355,339,360,0,0,0,0,180,38.5,6.1,3,0,1.7,1.3
01,Atlantic,1790,Greater Egg Harbor Regional High School District,3004,1393,46.4,642,21.4,624,20.8,242,8.1,2,0.1,3,0.1,98,3.3,0,0,0,0,0,0,0,0,0,0,0,0,718,736,795,707,48,39.2,9.3,1.3,0,1.7,1.2
01,Atlantic,1940,Hamilton Township School District,2857,1096,38.4,704,24.6,694,24.3,142,5,1,0,1,0,219,7.7,0,231,0,227,239,270,249,290,265,317,300,320,0,0,0,0,149,38.9,6.7,2.6,0,0.8,1.3
01,Atlantic,1960,Hammonton School District,3383,2241,66.2,106,3.1,965,28.5,23,0.7,3,0.1,2,0.1,43,1.3,95,0,0,170,171,147,164,174,164,216,285,327,303,344,328,336,159,22.8,4.2,8.4,0.9,0.2,0.6
01,Atlantic,2680,Linwood City School District,807,622,77.1,15,1.9,82,10.2,45,5.6,0,0,0,0,43,5.3,26,1,80,2,74,81,79,84,87,88,87,113,0,0,0,0,5,10.3,1.6,0.7,0,4.3,0.2
01,Atlantic,2910,Mainland Regional High School,1239,821,66.3,58,4.7,222,17.9,71,5.7,0,0,0,0,67,5.4,0,0,0,0,0,0,0,0,0,0,0,0,296,293,295,320,35,18.8,5.2,1,0,0,1.2
01,Atlantic,3020,Margate City School District,382,346,90.6,1,0.3,20,5.2,3,0.8,1,0.3,2,0.5,9,2.4,1,0,0,42,43,31,46,30,37,49,47,51,0,0,0,0,5,6.3,0.5,1.3,0,2.1,0.8
01,Atlantic,3480,Mullica Township School District,651,432,66.4,36,5.5,163,25,1,0.2,1,0.2,0,0,18,2.8,0,41,0,52,59,46,48,66,64,74,77,86,0,0,0,0,38,37.9,5.8,0.6,0,0.2,1.1
01,Atlantic,3720,Northfield City School District,907,672,74.1,15,1.7,139,15.3,47,5.2,0,0,2,0.2,32,3.5,0,42,0,64,87,74,91,100,96,108,98,104,0,0,0,0,43,16.2,4.3,2.1,0.1,1.1,0.1
01,Atlantic,4180,Pleasantville Public School District,3531,52,1.5,1101,31.2,2287,64.8,45,1.3,5,0.1,15,0.4,26,0.7,0,300,0,240,262,243,250,270,253,262,263,244,234,177,236,153,144,75.4,4.4,20.4,0,0.3,0.8
01,Atlantic,4240,Port Republic School District,105,104,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,14,12,10,12,13,12,0,0,0,0,0,0,0,0,0,5.7,0
01,Atlantic,4800,Somers Point School District,787,318,40.4,107,13.6,269,34.2,19,2.4,5,0.6,1,0.1,68,8.6,0,52,0,61,69,71,92,73,95,75,80,76,0,0,0,0,43,54.5,6.7,9.3,0,0.6,0.8
01,Atlantic,5350,Ventnor City School District,618,254,41.1,24,3.9,239,38.7,75,12.1,1,0.2,0,0,25,4,0,63,0,59,57,50,55,56,60,67,59,80,0,0,0,0,12,41.6,8.3,2.6,0,0.2,0.6
01,Atlantic,5760,Weymouth Township School District,143,105,73.4,12,8.4,17,11.9,4,2.8,0,0,0,0,5,3.5,0,14,0,9,15,18,11,12,23,12,16,13,0,0,0,0,0,29.4,4.9,0,0,0,0
03,Bergen,0040,Allendale Public School District,849,619,72.9,7,0.8,47,5.5,129,15.2,0,0,1,0.1,46,5.4,18,0,0,71,91,68,94,87,113,105,96,105,0,0,0,0,1,0.7,0,0,0,0,0
03,Bergen,0080,Alpine School District,151,84,55.6,7,4.6,8,5.3,36,23.8,0,0,0,0,16,10.6,0,0,0,16,14,16,15,27,11,12,22,18,0,0,0,0,0,0,0,4,0,0,0
03,Bergen,0285,Bergen County Special Services School District,688,247,35.9,95,13.8,281,40.8,55,8,0,0,2,0.3,8,1.2,3,10,0,4,8,7,16,9,7,12,10,13,6,10,8,42,523,15.1,2.9,0.7,0,0,0.4
