state,2018 sample size,Well-Being Index,Career,Social,Financial,Community,Physical
,,,,,,,
Alabama,"1,656",44,18,37,45,17,48
Alaska,212,3,5,8,2,23,1
Arizona,"2,347",15,8,11,26,15,17
Arkansas,"1,129",49,49,50,50,38,46
California,"10,542",14,22,10,27,39,9
Colorado,"2,316",6,11,6,10,11,2
Connecticut,"1,415",16,38,16,21,41,5
Delaware,386,8,26,2,4,22,10
Florida,"6,928",20,13,5,36,21,16
Georgia,"2,994",23,17,15,40,28,21
Hawaii,502,1,1,1,1,4,4
Idaho,762,22,23,38,33,3,32
Illinois,"4,618",42,43,43,35,46,29
Indiana,"2,667",41,31,41,30,33,44
Iowa,"1,612",26,25,39,15,10,36
Kansas,"1,336",35,28,46,29,27,37
Kentucky,"1,672",48,47,47,42,32,49
Louisiana,"1,345",43,20,12,47,48,42
Maine,656,21,21,23,22,12,25
Maryland,"2,185",32,32,14,18,47,24
Massachusetts,"2,658",17,35,7,19,18,13
Michigan,"4,369",33,34,33,25,31,30
Minnesota,"2,872",12,12,32,8,8,20
Mississippi,922,47,27,48,49,45,47
Missouri,"2,739",40,29,35,34,35,40
Montana,488,4,4,19,17,2,7
Nebraska,"1,007",18,10,30,20,16,26
Nevada,854,19,16,17,11,37,31
New Hampshire,606,11,45,13,5,13,8
New Jersey,"2,837",31,41,9,28,40,19
New Mexico,786,30,9,24,38,49,18
New York,"6,038",37,46,29,41,43,22
North Carolina,"3,676",36,33,27,39,20,38
North Dakota,340,10,7,31,3,7,33
Ohio,"5,187",38,36,36,31,36,39
Oklahoma,"1,386",45,37,42,46,44,43
Oregon,"1,833",28,48,25,32,19,15
Pennsylvania,"5,617",34,42,26,24,34,35
Rhode Island,442,25,40,44,16,42,12
South Carolina,"1,896",39,19,34,37,25,41
South Dakota,402,9,6,21,12,6,27
Tennessee,"2,454",46,44,45,44,30,45
Texas,"7,121",29,15,22,43,26,34
Utah,"1,214",5,2,4,13,9,14
Vermont,283,7,14,3,9,5,6
Virginia,"3,181",27,30,28,23,29,23
Washington,"3,043",13,24,20,7,24,11
West Virginia,669,50,50,49,48,50,50
Wisconsin,"3,247",24,39,40,14,14,28
Wyoming,219,2,3,18,6,1,3
